nomProduit;prixKgOuPiece;famille;origine;description;url
Abricot;2.9;Fruit;France;"L’achat d’abricots en livraison est indispensable! On le reconnaît par sa peau veloutée avec une chair orange et juteuse. Ils offrent un parfait équilibre entre acidité et douceur, ce qui en fait une gourmandise irrésistible. Que vous les dégustiez tels quels, les utilisiez dans des pâtisseries ou les ajoutiez à des salades, les abricots sont polyvalents. Ils apportent une note de fraîcheur à tous vos plats.

Fraîcheur et qualité garanties : Chez nous, nous nous engageons à vous fournir des abricots d’une fraîcheur exceptionnelle. Nous travaillons en étroite collaboration avec des producteurs locaux réputés pour leur savoir-faire et leur engagement envers des pratiques agricoles durables. Chaque abricot se récolte à maturité,afin de garantir une saveur optimale et une texture fondante. Notre équipe expérimentée veille à ce que les abricots soient cueillis avec soin et expédiés rapidement.

Commandez des abricots en ligne et savourez le confort de la livraison : Profitez de l’aisance et de la commodité de commander des abricots frais en ligne et de les faire livrer directement à votre porte. Notre site web convivial vous permet de parcourir notre sélection, de choisir la quantité souhaitée et de passer votre commande en quelques clics. Grâce à notre service de livraison rapide et fiable, vous recevrez vos abricots dans les plus brefs délais, préservant ainsi leur fraîcheur et leur saveur intactes.

Les bienfaits des abricots pour la santé : Outre leur délicieuse saveur, les abricots regorgent de nutriments bénéfiques pour la santé. En effet, ils sont riches en vitamines A et C.

Ils sont aussi riche en fibres et en antioxydants. Ils contribuent ainsi au renforcement du système immunitaire et à la santé de la peau

L’achat d’abricots en livraison peut se consommer nature comme une pomme. On peut aussi l’intégrer dans une salade de fruits ou dans une recette de pâtisserie. Ajoutez l’abricot de chez NTB Primeurs à vos paniers c’est un excellent compromis. Vos fruits légumes 92 paris en livraison à domicile ou au travail.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Labricot94e3_je0ktr.jpg
Ail blanc;0.6;Aromate;France;"Quels sont les vertus de l’ail blanc? La livraison d’ail blanc paris pour en profiter. 

On prête à l’ail blanc  une action bénéfique dans la lutte contre certains agents potentiellement cancérigènes. Plus précisément, les composés sulfurés qu’il renferme pourraient entraver la multiplication de cellules cancéreuses. Plus encore, sa richesse en flavonoïdes et tocophérols, des antioxydants, permet de lutter contre les radicaux libres qui favorisent l’apparition de certains cancers. De manière générale, on considère que la consommation régulière d’alliacés tels que l’ail, l’échalote, l’oignon ou le poireau aurait une action préventive contre le cancer des voies digestives tels que ceux de l’intestin, de l’estomac ou du côlon.

La livraison d’ail blanc Paris a de puissantes vertus antibactériennes. Nous vous conseillons d’en consommer tous les jours, il a une action vermifuge et antiparasite. Utile pour purifier l’organisme, on peut également utiliser l’ail pour désinfecter certaines surfaces. Broyé et associé a du vinaigre blanc il permet de nettoyer et d’assainir de manière naturelle. L’ail est également reconnu pour lutter contre l’acné.

Au-delà de sa consommation régulière, il s’utilise en application externe. Il suffit pour cela de couper une gousse d’ail en deux et de frotter la zone à traiter pour la purifier des bactéries et retrouver une belle peau. Après quelques minutes, on rince à l’eau claire.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/AIl-blanc94e3_zdeugn.png
Ananas;1.65;Fruit;Costa Rica;"Un ananas sweet en livraison de qualité. Choisissez la livraison d’ananas. 

L’ananas Del Monte® est donc remarquable par sa saveur deux fois plus sucrée que l’ananas traditionnel et par la jolie couleur dorée de sa chair. Chez NTB Primeurs c’est le fruit exotique par excellence. L’ananas sweet est idéal pour une famille de 3/4 personnes.

Vertus

Il contient jusqu’à 4 fois plus de Vitamine C que pour un ananas traditionnel.

L’ananas est aussi un fruit dépuratif et détoxifiant reconnu.

Ce fruit exotique facilite la digestion en évitant les ballonnements et combat les troubles gastriques.

Il contient aussi une enzyme, la bromélaïne, qui permet de lutter contre les cellules cancéreuses.

Conservation et dégustation

Il se conserve à température ambiante dans une corbeille de fruits.

A consommer nature, aromatisé, en accompagnements de desserts ou de plats salés. Il est aussi excellent à savourer en jus ou smoothie mélangé au fruit de la passion par exemple.

L’ananas sweet en livraison vous permet d’apporter un peu d’exotisme dans votre alimentation un délice tropical livré chez vous. Savourez sa chair juteuse et sucrée, directement en provenance des meilleures plantations. Commandez dès maintenant pour profiter de l’ananas sweet en livraison. Notre service rapide vous offre la fraîcheur de ce fruit exotique dans le confort de votre foyer. Succombez à l’exotisme et à la douceur de l’ananas swee
";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Ananas94e3_rfy39j.png
Aneth;0.4;Aromate;Belgique;"Comment utiliser de l’aneth fraîche? La livraison d’aneth à domicile pour le découvrir. 

L’aneth est une herbe aromatique de la famille des Apiacées au goût doux et frais consommée depuis des générations. Sa grande tige verte bleutée aux longues feuilles filiformes en forme de rameaux est caractérisée par un parfum anisé.

Également appelée « Herbe de Dieu », son utilisation a d’abord était médicinale avant de connaître un véritable succès dans nos cuisines.

Concernant ses vertus, l’aneth possède donc de nombreux bienfaits avec des propriétés thérapeutiques reconnues. Cette herbe aromatique facilite intensément la digestion en luttant contre les problèmes gastriques. Sa consommation régulière aide aussi à soigner coliques, maux de ventre et à apaiser le système nerveux. C’est donc un excellent stimulant pour le transit.

Utilisation:

L’aneth se consomme principalement avec le poisson. Notamment avec le saumon fumé, ciselé finement. Pour relever une sauce ou une mayonnaise, l’aneth est idéal. Dans une salade composée de légumes verts c’est un excellent condiment. Moins connu, il sert également à parfumer les ragoûts de poulet ou de veau.  Nous vous conseillons d’ajouter l’aneth en fin de préparation. Pour consommer au mieux ses saveurs, ciselez-les votre livraison d’aneth en fin de cuisson et à feu tout doux";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Aneth94e3_az7ulb.png
Aubergine;1.2;Legume;Espagne;"Une livraison d’aubergine pour votre ratatouille de ce week-end?

L’aubergine est idéale pour la chasse aux kilos. Elle contribue à la diminution du mauvais cholestérol et limite ainsi le développement des plaques athéromes et l’hypertension artérielle. De plus c’est un légume qui ne contient seulement que 18kcal/100g et qui rassasie rapidement.

L’aubergine est un diurétique. Pauvre en sodium, riche en potassium (240mg/100g) et en eau (92%) , elle purifie l’organisme. On recommande l’aubergine en cas d’inflammation des voies urinaires. Elle est aussi laxative. Sa teneur élevée en fibres (2,5%) adoucit les maux digestifs,  accélère le transit intestinal et lutte contre la constipation. L’aubergine est astringente.

La peau de l’aubergine est aussi source d’antioxydants. Ces derniers protègent l’organisme des radicaux libres et ralentissent ainsi l’apparition des maladies cardio-vasculaires, des cancers et du vieillissement cellulaire précoce. Elle contient aussi de la bêta-carotène bénéfique pour la vision et contre le vieillissement de la peau.

L’aubergine détient des propriétés anti-inflammatoires, efficaces en cas de piqûres de moustiques. Pour cela appliquez de la poudre d’aubergine séchée sur la zone atteinte. L’aubergine stimule les sécrétions de la vésicule biliaire et le bon fonctionnement du foie.

Elle est source de fer, pour lutter contre l’anémie. Elle apporte aussi du potassium en grande quantité, du magnésium, des vitamines en plus faible quantité.

N’hésitez plus et profitez de la livraison d’aubergine à domicile.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/AUBERGINE94e3_clg5e9.jpg
Avocat;1.00;Fruit;Perou;"Est-il bon de manger des avocats tous les jours ? Avocat en livraison toute l’année chez NTB Primeurs.

L’avocat est un fruit du quotidien disponible toute l’année, originaire principalement du Mexique. Il peut être noir ou vert, petit ou gros. NTB Primeurs sélectionne avec soin les avocats en livraison pour votre plus grand plaisir. L’avocat est le fruit roi de notre décennie avec même une surconsommation.

Bienfaits: 

L’avocat est un allié pour le corps et pour le cœur. Ce fruit est riche en lipide. Néanmoins, il reste bénéfique pour votre santé cardio vasculaire. Il contient de nombreuses qualités nutritionnelles permettant un apport en vitamine E, K et en bonnes graisses insaturées.

Il peut être consommé par un bébé dès l’âge de 1 an. Cependant, l’avocat est calorique. L’avocat en livraison fait donc grossir, limitez les quantités.

Conservation et dégustation:

L’avocat entier de chez NTB Primeurs se conserve à l’air libre dans votre corbeille de fruits une semaine. Si vous le coupez en deux,   conservez le noyau, arrosez de jus de citron et conservez dans le bac à légumes du réfrigérateur trois à quatre jours.

Pour les faire mûrir, emballez les dans du papier journal.

Sa fraîcheur et  son exotisme s’adapte super bien dans la réalisation d’un poke bowl. Dans une salade il apporte de la douceur. Sans oublier dans un guacamole maison, laissez libre court à votre imagination !";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Avocat94e3_sythmg.png
Banane;1.35;Fruit;France;"AinsiUn petit déjeuner tonique, besoin d’une livraison de bananes à domicile?

La banane est un fruit exotique issu du bananier. Il existe plus de 1000 sortes de bananes dans le monde entier, des variétés à la fois sucrées et salées, disponibles dans des couleurs saveurs et formes uniques. On distingue donc les bananes desserts et les bananes à cuisiner (plantain).

Nous travaillons avec la filière des Antilles françaises, dont la production est réputée dans le monde entier pour ses qualités nutritives.

La banane est bien pourvue en bêta-carotène (précurseur de la vitamine A).

Elle contribue à la santé de la peau, à la croissance des os et des dents. Mais elle protège aussi contre les infections.

Sa richesse en magnésium permet d’être un anti-stress naturel. Elle est riche en glucide, c’est le fruit de l’effort par excellence, avis aux sportifs ! Elle est donc énergique et régénératrice.

Pour sa conservation, préférez la température ambiante. Les bananes supportent mal le froid.

La banane s’adapte à tous les goûts que se soit Crue ou cuite, en dessert ou en accompagnement de plats salés. Elle est présente dans tous les types de cuisine et sous toutes les formes : beignets, gâteaux, glaces, mousses… Ainsi, laissez vous tenter par la livraison de bananes à domicile.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Banane94e3_iahef2.png
Basilic;0.4;Aromate;Belgique;"Le Basilic ou Basilic romain (Ocimum basilicum L.) est une espèce de plantes herbacées thérophytes de la famille des Lamiacées (labiacées, labiées), cultivée comme plante aromatique et condimentaire. La plante est parfois appelée Basilic commun, Basilic aux sauces, Herbe royale1 ou Grand Basilic. Le Basilic commun est largement employé dans la cuisine italienne, d'autres variétés de basilic sont répandues dans certaines cuisines asiatiques : Taïwan, Thaïlande, Viêt Nam, Cambodge et Laos. Cette plante a eu plusieurs synonymes scientifiques dont Ocimum basilicum var. glabratum Benth, Ocimum basilicum var. majus Benth.
Dans la gastronomie

Tomate et feuilles de basilic.
Les feuilles de basilic sont utilisées comme herbe aromatique. Elles s'utilisent de préférence crues car leur arôme s'atténue à la cuisson. Elles accompagnent les crudités (salades, tomates courgettes), les pâtes, les coquillages et les poissons, les œufs brouillés, le poulet, le lapin, le canard, les sauces (vinaigrettes, au citron, à l'huile d'olive) :

la soupe au pistou est la recette de soupe traditionnelle de la Provence. C'est une soupe que l'on déguste principalement l'été. Pistou provient du latin pistare qui signifie « piler », car il est indispensable d'écraser les feuilles de basilic au mortier pour bien les incorporer à la préparation. Le mot pistou désigne donc la pommade qui accompagne cette soupe et non le plant de basilic ;
pesto (Ligurie) : recette du nord-ouest de l'Italie. Pilé avec de l'huile d'olive, du pecorino (éventuellement du parmesan), des pignons et de l'ail, il donne une sauce onctueuse pour accompagner les pâtes ;
pistou (sud de la France) : c'est une recette proche du pesto italien, mais qui se prépare sans les pignons, pour accompagner les soupes d'été de légumes et de haricots blancs, les pâtes, les beignets de courgette ou d'aubergine ;
spaghetti aux herbes ;
velouté de basilic au parmesan.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685188780/AR00271_xxjwch.jpg
Batavia;1.00;Legume;France;"Une salade fraîche des champs à votre assiette ? On choisit la livraison de salade fraîche.

La laitue batavia appartient à la même espèce que la laitue pommée, elles portent le même nom Lactuca sativa var capitata en latin. La batavia est similaire à la laitue habituelle avec des feuilles plus striées avec un bord ondulé. Elle est de couleur vert clair ou rouge à brun. Cette salade est une très ancienne variété de laitue, précurseur de la laitue iceberg, elle est plus dure et plus croquante.

Il existe de nombreuses variétés. A la fois à tête ouverte et fermée dans des couleurs de teintes vertes, bordeaux, rouges et mixtes. La plupart de ces laitues croquantes sont lâches et ondulées, certaines sont plus compactes et ressemblent presque à des laitues icebergs. Les feuilles croquantes de la batavia sont idéales avec des nems au poulet.

Bienfaits :

En effet, la batavia a de grandes propriétés pour maintenir un corps sain.  Ainsi, elle contient beaucoup d’eau ce qui nous aide à nettoyer les déchets du corps expulsés.

De plus, étant riche en quantité d’une grande variété de vitamines, elle devient une source importante d’antioxydants pour le corps. Notamment sa teneur élevée en vitamine K, qui est une vitamine principalement utilisée pour la coagulation du sang et pour générer des globules rouges. La laitue batavia est aussi très riche en acide folique. Dès lors, on sait que l’acide folique c’est de la vitamine B9. Il est essentiel pour prévenir l’anémie.

Conservation :

Pour conserver votre batavia entière enveloppez là dans une serviette en papier humide. Mettez la dans un sac en plastique au réfrigérateur. Si vous conservez des feuilles de laitue  lavées, essorez lès et placez lès dans un récipient hermétique au réfrigérateur.

La livraison de salade fraîche pour une entrée à réaliser simple et diététique.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Batavia-194e3_ypdxxg.png
Carotte;1.35;Legume;France;"Est-ce que la carotte fait grossir? Livraison à domicile carotte.

La Carotte est une plante bisannuelle, largement cultivée pour sa racine pivotante charnue, comestible, de couleur généralement orangée, consommée comme légume.

Ce légume représente, après la pomme de terre, le principal légume-racine cultivé dans le monde. La carotte orange est apparue à la suite de culture sélective à la Renaissance, au XVIIe siècle, en Hollande.

Bienfaits:

Les bienfaits de la carotte proviennent pour beaucoup du bêta-carotène qu’elle contient. C’est un puissant antioxydant qui lutte contre les radicaux libres responsables du vieillissement

La carotte orange agit aussi bien en régulant le transit pour lutter contre la constipation que comme anti-diarrhéique grâce au fort pouvoir de rétention d’eau de ses fibres. Elle concentre notamment de la pectine.

Elle est très riche en vitamines et minéraux dont principalement la provitamine A, les vitamines B9, C et E, le potassium et le calcium.

Conservation et dégustation:

Épluchez et découpez vos carottes crues en bâtonnets. Placez-les dans un contenant hermétique idéalement en verre, ajoutez de l’eau et hop, au frigo ! Pour conserver vos carottes des semaines, placez-les dans des bacs remplis de sable, idéalement dans un endroit sec et à l’abri de la lumière. Pour congeler des carottes crues, lavez-les, puis coupez-les en tronçons de taille similaire. Posez-les sur une plaque et mettez-les au congélateur. Cela évite un bloc de glace à la carotte.

La carotte offre de très nombreuses possibilités de recettes. La livraison à domicile carotte se déguste crue en salade de carotte  râpée ou cuite dans un potage en légume.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/carotte-botte94e3_nj3x7c.jpg
Cebette;1.3;Aromate;France;"Qu'est-ce qu'une cébette ?
La cébette, aussi appelée « l’oignon cébette », est une plante herbacée du Midi similaire à la ciboule et utilisée pour ses tiges riches en arômes. Considérée par beaucoup comme de la grosse ciboulette, elle se caractérise néanmoins par un goût et un parfum bien plus marqués que cette dernière.

Sur les étals, la cébette est régulièrement confondue avec l’oignon nouveau, alors même qu'il s'agit d'une variante très différente. En effet, cette plante se distingue grâce à son bulbe sous-développé, qui a pris une forme allongée au point de se confondre avec sa tige. À l'inverse, l’oignon nouveau prend bien l'aspect d'une petite boule au fil de sa croissance.

Quelle est la saison des cébettes et où les acheter ?
Consommable au printemps, en été et à l'automne (de mai à octobre), cette plante aromatique n'est malheureusement pas facile à trouver dans le commerce. Mais alors, où acheter des cébettes ? La plupart du temps, vous devrez vous déplacer sur le marché ou chez les maraîchers pour pouvoir vous en procurer, car les grandes surfaces font rarement la différence entre elle et l’oignon nouveau.

Comment cuisiner les cébettes ?
Traditionnellement, ce sont surtout les tiges de la cébette qui sont utilisées en cuisine, de par leur qualité d’herbes aromatiques, au même titre que la ciboulette ou l'échalote. Parfaites pour une poêlée de légumes, les cébettes peuvent aussi relever le goût de plats asiatiques ou encore d'une omelette. Dans d’autres cas, son bulbe peut également se cuisiner, comme c’est le cas dans la salade niçoise, où il se déguste cru et tranché en fines lamelles.

Dans certaines régions, les cébettes sont aussi cuisinées comme des légumes d'accompagnement, en étant préparées et poêlées de la même façon que ces derniers.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Cebette94e3_lgll1w.png
Celeri branche;1.1;Legume;Italie;"Quelle partie du céleri-branche se mange? Livraison celeri branche pour le découvrir. 

Le céleri ou ache des marais ou encore persil des marais, est une plante herbacée bisannuelle qui se cultive comme plante potagère pour ses feuilles et sa racine tubérisée consommées comme légume.

Originaire du bassin méditerranéen, le céleri branche se consomme déjà dans L’Odyssée d’Homère. Ensuite, pendant des siècles, le céleri se présente sous la forme d’un bouquet aux tiges frêles et sert d’aromate. La plante telle qu’on la connaît aujourd’hui naquit au XVIIe siècle, en Italie. Depuis, c’est un légume d’hiver incontournable.

Bienfaits:

Très riche en eau, comportant moins de glucides que la moyenne des légumes, le céleri branche est faiblement calorique. Ce légume contient également moins de fibres que la moyenne des légumes. Il fournit une quantité notable de potassium. Il est source de vitamine B9 et riche en vitamine K.

De plus, le céleri branche renferme plusieurs antioxydants comme de la lutéine, du bêtacarotène, des flavonoïdes… Ces antioxydants ont diverses propriétés : certains sont anti-inflammatoires, d’autres sont bénéfiques à la santé des yeux ou de l’épiderme.

Conservation et dégustation:

Pour la conservation de livraison céleri branche, roulez les feuilles du céleri dans des morceaux de papier essuie-tout humides avant de les mettre au réfrigérateur. Ainsi, elles restent bien fraiches. Ensuite, placez le reste du céleri emballé dans le bac à légumes. Dans la mesure où il est constitué de 93% d’eau, le céleri branche doit être blanchi pour pouvoir se congeler sans cristalliser.

Nous vous conseillons de le manger cru, les tiges se dégustent en salade ou en amuse-bouche. Vous pouvez aussi faire des recettes cuites, dans un soupe ou ajoutez aux légumes du pot-au-feu.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Celeri-branche94e3_zt9yb0.png
Cerfeuil;0.6;Aromate;Belgique;"Le cerfeuil est une herbacée aromatique au goût légèrement anisé. Facile à cultiver, découvrez comment le semer, le planter, l'entretenir et le récolter.

";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Cerfeuil0f1c_rrve68.png
Cerise;9.00;Fruit rouge;Espagne;"Livraison cerise à domicile? La cerise est un fruit très attendu à la fois pour son côté sucré et subtile en fonction de la variété. Nous proposons en fonction de nos arrivages nos belles cerises d’exception françaises.

NTB Primeurs propose de la cerise BURLAT. C’est le fruit de saison du printemps par excellence. Ajoutez les à votre panier de fruits de saison.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685188035/Sans-titre-1694e3_iyg0nc.png
Champignon;3.00;Legume;Espagne;"Découvrir le champignon géant
C’est Jean de la Quintinie, agronome français, qui mit au point la culture des champignons de couche pour le potager du roi Louis XIV à Versailles. Aujourd’hui on cultive un certain nombre d’espèces.

Retrouvez toutes les informations, recettes et promotions sur les champignons.

 

Le plus connu étant le champignon de Paris, cultivé depuis deux siècles. Les champignons de couche ont l’avantage, en plus d’être délicieux, d’être disponibles tout au long de l’année.

 

 

Comment le consommer ? 
 

Ce très gros champignon de Paris, grâce à sa taille, peut facilement être farci une fois son pied ôté. On peut aussi le couper en lamelles pour en faire de délicieuses poêlées avec un peu d’ail et du persil ou des pousses de soja, des poivrons, du maïs.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Champignon94e3_lrnfc7.png
Chou blanc;1.5;Legume;Hollande;"Découvrir le chou atlas
Le chou atlas est une variété d’origine asiatique assez originale car il est plat ! Ses feuilles sont très fines au goût légèrement sucré. 

 

Il est très consommé au Japon où on le prépare de multiples manières. La salade ""Sengiri"", qui signifie ""coupé en mille morceaux"" est l’un des plats les plus populaires du pays. N’hésitez pas à le découvrir, vous verrez il est vraiment excellent !

 

 

Comment le consommer ? 
 

Il a un petit goût sucré et ses feuilles sont croquantes à souhait ! Il se consomme idéalement râpé en salade, mélangé ou non à d’autres crudités, à de la scarole ou à de l’iceberg par exemple.

 

Il peut aussi ajouter un peu de fraîcheur à vos sandwichs avec du fromage frais, du saumon fumé ou du jambon cru. Pour le cuisiner il suffit de le découper en fines lamelles.

 

Il accompagne très bien les viandes et les poissons, frit à la poêle avec d’autres légumes. Il est aussi délicieux préparé en rouleaux de printemps.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Chou-blanc94e3_ytxtqv.png
Citron jaune ;1.5;Fruit;Espagne;"Présentation

La livraison de citron jaune pour une cure détox?

Le citron jaune est un fruit originaire d’Asie, aimé pour son acidité mais aussi ses nombreux bienfaits pour la santé. En France, on estime la consommation à 2,5 kilos par an par personne. Les principaux pays producteurs avec lesquels nous travaillons sont l’Espagne et l’Argentine, le Brésil et le Mexique.

Vertus

La livraison de citron jaune à domicile est importante car c’est un excellent stimulant pour le système immunitaire permettant de soigner de nombreux maux.
Riche en vitamine C, ses propriétés antibactériennes et antivirales ont été mondialement reconnues car elles combattent la fatigue notamment et protègent nos cellules du stress oxydatif. En effet, il est important de préciser que la vitamine C régule le métabolisme, ce n’est pas une vitamine stimulante comme on a pu laisser le croire.
Conservation et dégustation

Composé à 90% d’eau, ce fruit hypocalorique se consomme généralement pressé en jus ou en limonade. 
Congelez directement le jus de citron dans le bac à glaçons pour avoir de l’avance.
La peau du citron quant à elle peut être consommée en zeste ( à prélever avec un zesteur ou un économe) afin de parfumer une sauce ou dans une salade verte au citron jaune. La peau du citron est donc utile dans de nombreuses recettes.";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Citron94e3_pie6na.png
